레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
통새우튀김,9,"새우,만두피,소금,맛술,후추,계란,양파,피클,마요네즈",통새우|만두피|소금|맛술|후춧가루|삶은 달걀|다진 양파|다진 피클|마요네즈,https://haemukja.com/recipes/2398,반찬,술안주|간식/야식|파티/명절요리,,85.7,15.65,4.35,194.0,12.95,0.1,"['새우', '만두피', '소금', '맛술', '후추', '계란', '양파', '피클', '마요네즈']",4.3
통오징어구이,10,"오징어,파,마늘,고추장,고춧가루,간장,올리고당,맛술,참기름,핫소스",오징어|파|다진 마늘|고추장|고춧가루|간장|올리고당|맛술|참기름|핫소스,https://haemukja.com/recipes/954,반찬,술안주,한식 요리,124.1,13.15,35.8,783.85,56.05,6.4,"['오징어', '파', '마늘', '고추장', '고춧가루', '간장', '올리고당', '맛술', '참기름', '핫소스']",4.2
통조림 꽁치 조림,12,"꽁치통조림,양파,대파,파,고추,고추,물,간장,고춧가루,미림,마늘,후추",통조림 꽁치|양파|대파|실파|홍고추|청양고추|물|간장|고춧가루|미림|다진마늘|후추,https://haemukja.com/recipes/4402,반찬,,한식 요리,68.26666667,6.3,11.86666667,1185.266667,162.5,5.366666667,"['꽁치통조림', '양파', '대파', '파', '고추', '고추', '물', '간장', '고춧가루', '미림', '마늘', '후추']",1.4
통조림 옥수수 스프,6,"옥수수,콘,우유,감자,버터,소금",옥수수 콘|우유|감자|버터|소금,https://haemukja.com/recipes/4310,스프,,양식 요리,57.25,15.25,3.4,267.45,55.7,8.65,"['옥수수', '콘', '우유', '감자', '버터', '소금']",3.6
통조림연어덮밥,9,"연어통조림,계란,밥,간장,식초,오렌지주스,소주,설탕,대파",연어통조림|계란|밥|간장|식초|오렌지주스|소주|설탕|대파,https://haemukja.com/recipes/2037,밥,,한식 요리,924.7,98.0,43.7,1612.7,288.9,44.4,"['연어통조림', '계란', '밥', '간장', '식초', '오렌지주스', '소주', '설탕', '대파']",4.0
통후추 알리오올리오,10,"펜,올리브유,베이컨,바질,파슬리,모짜렐라치즈,후추,파마산치즈가루,마늘,페퍼론치노",펜네|올리브유|베이컨|바질 말린것|파슬리가루|모짜렐라치즈|통후추|파마산치즈가루|다진 마늘|페페론치노,https://haemukja.com/recipes/4880,국밥/면/죽,간식/야식|술안주|손님 접대 요리|파티/명절요리,양식 요리,51.6,3.3,4.55,177.35,69.65,3.75,"['펜', '올리브유', '베이컨', '바질', '파슬리', '모짜렐라치즈', '후추', '파마산치즈가루', '마늘', '페퍼론치노']",2.5
투움바리조토,11,"쌀,생크림,우유,간장,고춧가루,설탕,소금,후추,양송이버섯,마늘,쪽파",생쌀|생크림 혹은 우유|간장|고춧가루|설탕|소금|후추|양송이|마늘|쪽파,https://haemukja.com/recipes/4337,밥,,양식 요리,109.95,7.75,3.0,746.1,59.3,6.65,"['쌀', '생크림', '우유', '간장', '고춧가루', '설탕', '소금', '후추', '양송이버섯', '마늘', '쪽파']",4.2
투움바파스타,15,"쪽파,휘핑크림,간장,페투치니파스타면,칵테일새우,고춧가루,청주,마늘,캐첩,브로콜리,양송이버섯,베이컨,식용유,마늘,후추",쪽파|휘핑크림|진간장|페투치니면|칵테일새우|고춧가루|청주|다진마늘|캐첩|브로콜리|양송이버섯|베이컨|식용유|다진마늘|후추,https://haemukja.com/recipes/3569,국밥/면/죽,손님 접대 요리,양식 요리,815.9,17.8,25.7,722.5,210.6,60.7,"['쪽파', '휘핑크림', '간장', '페투치니파스타면', '칵테일새우', '고춧가루', '청주', '마늘', '캐첩', '브로콜리', '양송이버섯', '베이컨', '식용유', '마늘', '후추']",3.2
튀김소스,15,"고추장,설탕,캐첩,간장,올리고당,마늘,깨,된장,마요네즈,청주,맛술,고추,식초,레몬,땅콩버터",고추장|설탕|케첩|간장|올리고당|다진마늘|통깨|된장|마요네즈|청주|맛술|청양고추|식초|레몬|땅콩버터,https://haemukja.com/recipes/2704,소스,,한식 요리,135.6,41.9,5.5,2176.65,37.9,12.25,"['고추장', '설탕', '캐첩', '간장', '올리고당', '마늘', '깨', '된장', '마요네즈', '청주', '맛술', '고추', '식초', '레몬', '땅콩버터']",4.5
튜나 캐서롤,13,"파스타면,참치통조림,버터,빵가루,캠벨크림버섯스프,우유,샐러드,파프리카,파프리카,파슬리,올리브오일,후추,체다치즈",파스타|캔참치|버터|빵가루|캠벨 크림버섯스프  (혹은 인스턴트 크림버섯수프)|우유|셀러리|레드 파프리카|그린 파프리카|다진 파슬리|올리브 오일|후추|체다치즈 (갈은것),https://haemukja.com/recipes/53,국밥/면/죽,파티/명절요리,양식 요리,54.96666667,24.13333333,8.466666667,181.6666667,55.06666667,54.93333333,"['파스타면', '참치통조림', '버터', '빵가루', '캠벨크림버섯스프', '우유', '샐러드', '파프리카', '파프리카', '파슬리', '올리브오일', '후추', '체다치즈']",1.5
트럭토스트,9,"식빵,계란,양배추,당근,햄,치즈,버터,흑설탕,캐첩",식빵|달걀|채썬 양배추|채썬 당근|햄|치즈|버터|흑설탕|케찹,https://haemukja.com/recipes/2007,빵,나들이 요리|간식/야식,양식 요리,119.95,20.7,9.4,151.5,52.55,3.15,"['식빵', '계란', '양배추', '당근', '햄', '치즈', '버터', '흑설탕', '캐첩']",4.4
티라미수,8,"계란,크림치즈,카스테,설탕,에스프레소,코코아파우더,라즈베리,애플민트",달걀|크림치즈|카스테라|설탕|에스프레소|코코아파우더|라즈베리|애플민트,https://haemukja.com/recipes/889,후식,간식/야식,양식 요리,31.2,14.325,3.675,86.15,39.4,0.1,"['계란', '크림치즈', '카스테', '설탕', '에스프레소', '코코아파우더', '라즈베리', '애플민트']",3.9
파기름 볶음면,6,"쪽파,식용유,설탕,간장,굴소스,소면",쪽파|식용유|설탕|간장|굴소스|소면,https://haemukja.com/recipes/4519,반찬,간식/야식,한식 요리,842.6,103.9,13.1,3148.6,46.2,5.4,"['쪽파', '식용유', '설탕', '간장', '굴소스', '소면']",2.9
파김치,9,"쪽파,까나리액젓,고춧가루,조청,설탕,찹쌀가루,물,배,참깨",쪽파|까나리액젓|고춧가루|조청|설탕|찹쌀가루|물|배|참깨,https://haemukja.com/recipes/1134,밥,,한식 요리,5.65,5.2,0.7,107.85,4.7,1.625,"['쪽파', '까나리액젓', '고춧가루', '조청', '설탕', '찹쌀가루', '물', '배', '참깨']",2.2
파니니,7,"식빵,샐러드,모짜렐라치즈,토마토,양파,발사믹소스,마요네즈",식빵|샐러드야채|모짜렐라치즈|토마토|양파|발사믹드레싱|마요네즈,https://haemukja.com/recipes/1279,빵,간식/야식,양식 요리,668.4,104.8,18.4,242.1,94.3,28.4,"['식빵', '샐러드', '모짜렐라치즈', '토마토', '양파', '발사믹소스', '마요네즈']",4.2
파래무침,8,"파래,무,설탕,국간장,식초,마늘,참깨,참기름",파래|무|설탕|국간장|식초|다진 마늘|부순 참깨|참기름,https://haemukja.com/recipes/5191,반찬,,한식 요리,2.025,1.425,0.15,101.125,1.4,0.55,"['파래', '무', '설탕', '국간장', '식초', '마늘', '참깨', '참기름']",5.0
파래전,6,"파래,깻잎,고추,고추,부침가루,물",파래|깻잎|풋고추|홍고추|부침가루|물,https://haemukja.com/recipes/5354,반찬,술안주|간식/야식,한식 요리,44.1,18.65,5.4,1.85,20.15,6.85,"['파래', '깻잎', '고추', '고추', '부침가루', '물']",1.9
파불고기,14,"소고기불고기용,파채,깨,불고기양념,간장,설탕,매실,마늘,생강,참기름,양파,사과,후추,대파",소 불고기감|파채|통깨|[불고기양념]|진간장|백설탕|매실|다진마늘|생강|참기름|양파|사과|후추|대파,https://haemukja.com/recipes/5229,반찬,술안주|파티/명절요리,한식 요리,50.86666667,10.36666667,11.03333333,1678.233333,25.03333333,3.566666667,"['소고기불고기용', '파채', '깨', '불고기양념', '간장', '설탕', '매실', '마늘', '생강', '참기름', '양파', '사과', '후추', '대파']",3.4
파블로바,4,"계란,설탕,딸기,블루베리",달걀흰자|설탕|딸기|블루베리,https://haemukja.com/recipes/1648,반찬,간식/야식,양식 요리,374.7,83.6,11.9,343.8,9.2,11.6,"['계란', '설탕', '딸기', '블루베리']",4.2
파송송계란탁토스트,5,"식빵,파,계란,설탕,식용유",식빵|파|계란|설탕|식용유,https://haemukja.com/recipes/3870,빵,간식/야식,퓨전요리,187.2,20.0,10.4,118.9,38.7,1.0,"['식빵', '파', '계란', '설탕', '식용유']",1.8
파스타토스트,8,"식빵,숏파스타,양파,마늘,베이컨,토마토소스,모짜렐라치즈,후추",식빵|숏파스타(푸실리펜네 등)|양파|다진 마늘|베이컨|레토르트 토마토소스l|모짜렐라치즈|후추,https://haemukja.com/recipes/5661,빵,나들이 요리|간식/야식,퓨전요리|양식 요리,175.25,26.5,14.55,482.4,189.35,3.2,"['식빵', '숏파스타', '양파', '마늘', '베이컨', '토마토소스', '모짜렐라치즈', '후추']",3.3
파스타피자,20,"피자도우반죽,밀가루,물,설탕,소금,인스턴트드라이이스트,오일,토마토스파게티소스,숏파스타,토마토,양파,마늘,소금,바질,설탕,케첩,후추,베이컨,기타재료,모짜렐라치즈",[피자반죽]|밀가루|미지근한 물|백설탕|소금|인스턴트 드라이이스트|오일|[토마토파스타]|숏 파스타|토마토|양파|마늘|소금|바질 말린것|백설탕|토마토케찹|후추|베이컨|[기타재료]|모짜렐라치즈,https://haemukja.com/recipes/5230,빵,해장요리|손님 접대 요리|술안주|간식/야식|파티/명절요리,퓨전요리|양식 요리,38.0,22.5,4.7,315.625,13.825,9.6,"['피자도우반죽', '밀가루', '물', '설탕', '소금', '인스턴트드라이이스트', '오일', '토마토스파게티소스', '숏파스타', '토마토', '양파', '마늘', '소금', '바질', '설탕', '케첩', '후추', '베이컨', '기타재료', '모짜렐라치즈']",2.0
파에야,11,"쌀,양파,피망,피망,토마토소스,카레분말,다시다,치킨스톡,닭가슴살,오징어,새우",쌀|양파|청피망|홍피망|토마토소스|카레가루|다시다요리수치킨스톡|닭가슴살|오징어|새우,https://haemukja.com/recipes/1545,밥,파티/명절요리,양식 요리,21.675,11.325,8.25,170.225,15.15,6.65,"['쌀', '양파', '피망', '피망', '토마토소스', '카레분말', '다시다', '치킨스톡', '닭가슴살', '오징어', '새우']",5.0
파인애플 식초,3,"파인애플,사과식초,설탕",파인애플|사과식초|설탕,https://haemukja.com/recipes/4333,소스,,,1.55,3.84,0.05,0.81,1.28,1.7,"['파인애플', '사과식초', '설탕']",3.2
파인애플 오이 살사 ,9,"파인애플,오이,쪽파,할라피뇨고추,꿀,식용유,소금,후추,연어",파인애플|오이|쪽파|할라피뇨|꿀|식용유|소금|후추|연어,https://haemukja.com/recipes/861,반찬,술안주,,6.25,5.125,0.875,12.1,14.2,12.55,"['파인애플', '오이', '쪽파', '할라피뇨고추', '꿀', '식용유', '소금', '후추', '연어']",2.2
파인애플볶음밥,10,"파인애플,밥,파프리카,양파,캐슈너트,베이컨,굴소스,스위트칠리소스,피쉬소스,소금",파인애플|밥|파프리카|양파|캐슈넛|베이컨|(소스)굴소스|스위트칠리|피시소스|소금,https://haemukja.com/recipes/1986,밥,손님 접대 요리,동남아/인도 요리,186.0,58.85,10.25,600.05,48.0,111.65,"['파인애플', '밥', '파프리카', '양파', '캐슈너트', '베이컨', '굴소스', '스위트칠리소스', '피쉬소스', '소금']",4.9
파절이,10,"파채,고춧가루,간장,멸치액젓,식초,매실액,설탕,마늘,참기름,소금",파채|고춧가루|진간장|멸치액젓|식초|매실농축액|백설탕|마늘|참기름|깨소금,https://haemukja.com/recipes/441,반찬,,한식 요리,3.6,2.5,0.466666667,141.9333333,14.56666667,3.866666667,"['파채', '고춧가루', '간장', '멸치액젓', '식초', '매실액', '설탕', '마늘', '참기름', '소금']",3.4
파채 골뱅이 튀김,8,"골뱅이통조림,파채,양파,치킨스톡,간장,고춧가루,설탕,식초",골뱅이|파채|양파|치킨파우더|간장|고춧가루|설탕|식초,https://haemukja.com/recipes/3206,반찬,술안주,한식 요리,50.6,23.2,2.75,1.65,31.8,7.55,"['골뱅이통조림', '파채', '양파', '치킨스톡', '간장', '고춧가루', '설탕', '식초']",3.9
파채라면,8,"파채,마늘,양파,파,고춧가루,물,식용유,라면",파채|마늘|양파|파|고춧가루|물|식용유|라면,https://haemukja.com/recipes/2092,국밥/면/죽,술안주|간식/야식,한식 요리,774.7,84.1,13.6,2536.2,144.1,25.5,"['파채', '마늘', '양파', '파', '고춧가루', '물', '식용유', '라면']",4.2
파채치즈백순대,24,"순대,모짜렐라치즈,양배추,파채,깻잎,양파,당면,들깨가루,참기름,소금,후추,고추장,고춧가루,카레분말,매실,참기름,후추,소금,간장,설탕,올리고당,식초,들깨가루,물",순대|모짜렐라치즈|양배추|파채|깻잎|양파|당면|들깨가루|참기름|소금|후추|(양념장) 고추장|고추가루|카레가루|매실|참기름|후추|깨소금|진간장|백설탕|올리고당|식초|들깨가루|물,https://haemukja.com/recipes/4658,반찬,술안주|간식/야식,한식 요리,88.35,31.95,2.05,508.75,40.85,3.15,"['순대', '모짜렐라치즈', '양배추', '파채', '깻잎', '양파', '당면', '들깨가루', '참기름', '소금', '후추', '고추장', '고춧가루', '카레분말', '매실', '참기름', '후추', '소금', '간장', '설탕', '올리고당', '식초', '들깨가루', '물']",3.7
파채핫도그,6,"핫도그빵,소세지,파무침,쌈채소,마요네즈,케첩",핫도그빵|소시지|파무침|쌈채소|[소스] 마요네즈|토마토케찹,https://haemukja.com/recipes/2254,빵,나들이 요리|간식/야식,퓨전요리,125.4,17.7,9.55,265.5,51.85,1.45,"['핫도그빵', '소세지', '파무침', '쌈채소', '마요네즈', '케첩']",4.8
파탕,6,"우동,마늘,쪽파,간장,참기름,명란젓갈",우동|마늘|쪽파|간장|참기름|명란젓,https://haemukja.com/recipes/2517,국,간식/야식,일식 요리,146.8,2.3,9.5,2161.3,16.4,0.6,"['우동', '마늘', '쪽파', '간장', '참기름', '명란젓갈']",3.5
파프리카 쌈장 무침,7,"파프리카,파프리카,오이,양파,쌈장,참기름,깨",파프리카(노란색)|파프리카(빨간색)|오이|양파|[양념] 쌈장|참기름|깨,https://haemukja.com/recipes/2630,반찬,,한식 요리,12.0,2.85,1.25,3.0,13.1,66.95,"['파프리카', '파프리카', '오이', '양파', '쌈장', '참기름', '깨']",4.2
파프리카 잡채,11,"당면,파프리카,파프리카,당근,양파,목이버섯,간장,올리고당,소금,후추,참기름",당면|레드 파프리카|옐로우 파프리카|당근|양파|목이버섯|간장|올리고당|소금|후추|참기름,https://haemukja.com/recipes/2554,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,한식 요리,102.95,44.6,1.2,611.45,33.8,14.1,"['당면', '파프리카', '파프리카', '당근', '양파', '목이버섯', '간장', '올리고당', '소금', '후추', '참기름']",4.7
파프리카 찹스테이크,18,"피망,피망,파프리카,양파,돼지고기,양송이버섯,청주,소금,후추,마늘,마늘,우스터소스,맛술,고추장,물엿,케첩,물,후추",홍피망|청피망|파프리카|양파|돼지고기(or소고기구이용)|[선택재료] 양송이버섯|[고기밑간] 청주|소금|후춧가루|다진마늘|[소스] 다진마늘|우스터소스(or 간장)|맛술|고추장|물엿|토마토케찹|물|후춧가루,https://haemukja.com/recipes/2631,반찬,손님 접대 요리,양식 요리,29.9,12.2,5.7,301.2,12.43333333,39.6,"['피망', '피망', '파프리카', '양파', '돼지고기', '양송이버섯', '청주', '소금', '후추', '마늘', '마늘', '우스터소스', '맛술', '고추장', '물엿', '케첩', '물', '후추']",3.3
파프리카 치즈 달걀찜,5,"파프리카,계란,치즈,소금,후추",파프리카|달걀|치즈|소금|후추,https://haemukja.com/recipes/3359,반찬,면역력 강화,퓨전요리,48.9,5.75,8.15,246.45,73.6,129.6,"['파프리카', '계란', '치즈', '소금', '후추']",5.0
파프리카 컵밥,6,"파프리카,밥,굴소스,계란,올리브유,피자치즈",파프리카|밥|굴소스|계란|올리브유|피자치즈,https://haemukja.com/recipes/4015,밥,면역력 강화,퓨전요리,85.15,23.2,7.65,258.1,50.1,194.4,"['파프리카', '밥', '굴소스', '계란', '올리브유', '피자치즈']",3.9
파프리카냉국,9,"파프리카,양배추,물,설탕,식초,마늘,국간장,참깨,소금",파프리카|양배추|[국물] 물|설탕|식초|다진마늘|국간장|참깨|소금,https://haemukja.com/recipes/2114,국,간식/야식,한식 요리,2.275,2.225,0.325,76.65,9.2,35.675,"['파프리카', '양배추', '물', '설탕', '식초', '마늘', '국간장', '참깨', '소금']",4.6
파프리카버거,8,"햄버거빵,소고기,치즈,토마토,파프리카,양상추,어린잎채소,마요네즈",햄버거빵|소고기|슬라이스 치즈|토마토|파프리카|양상추|어린잎채소|마요네즈,https://haemukja.com/recipes/4268,빵,,양식 요리,553.1,37.1,39.3,901.0,227.0,66.2,"['햄버거빵', '소고기', '치즈', '토마토', '파프리카', '양상추', '어린잎채소', '마요네즈']",3.2
파프리카베이컨치즈구이,7,"파프리카,치즈,베이컨,옥수수통조림,칠리소스,파마산치즈가루,파슬리",미니파프리카|치즈|베이컨|스위트콘|칠리소스|파마산치즈가루|파슬리가루,https://haemukja.com/recipes/1893,반찬,면역력 강화,양식 요리,25.1,4.525,4.725,201.275,47.8,130.0,"['파프리카', '치즈', '베이컨', '옥수수통조림', '칠리소스', '파마산치즈가루', '파슬리']",5.0
파프리카샐러드,7,"파프리카,부추,팽이버섯,식초,올리브유,꿀,소금",파프리카|부추|팽이버섯|식초|올리브유|꿀|소금,https://haemukja.com/recipes/1967,샐러드,면역력 강화,양식 요리,30.85,3.9,0.65,80.05,6.55,66.85,"['파프리카', '부추', '팽이버섯', '식초', '올리브유', '꿀', '소금']",4.4
파프리카오이무침,7,"파프리카,오이,고추장,고춧가루,참기름,마늘,깨",파프리카|오이|고추장|고춧가루|참기름|다진마늘|통깨,https://haemukja.com/recipes/1587,반찬,면역력 강화|간식/야식,한식 요리,306.0,44.9,10.7,1599.8,178.2,299.3,"['파프리카', '오이', '고추장', '고춧가루', '참기름', '마늘', '깨']",4.3
파프리카옥수수전,6,"부침가루,계란,물,옥수수통조림,파프리카,소금",부침가루|달걀|물|통조림옥수수|파프리카(1개)|소금,https://haemukja.com/recipes/4532,반찬,면역력 강화|술안주|간식/야식,퓨전요리|한식 요리,43.05,14.3,5.3,151.2,18.75,65.6,"['부침가루', '계란', '물', '옥수수통조림', '파프리카', '소금']",5.0
파프리카피클,6,"파프리카,피클링스파이스,물,식초,설탕,소금",파프리카 (미니파프리카 10개정도)|피클링스파이스|물|식초|설탕|소금,https://haemukja.com/recipes/2548,반찬,면역력 강화,양식 요리,1.283333333,1.85,0.1,4.583333333,2.016666667,14.4,"['파프리카', '피클링스파이스', '물', '식초', '설탕', '소금']",4.2
팝콘새우,3,"치킨스톡,라면스프,칵테일새우",치킨파우더|라면스프|칵테일 새우,https://haemukja.com/recipes/3340,반찬,술안주,퓨전요리,73.25,18.25,14.95,731.9,127.5,2.15,"['치킨스톡', '라면스프', '칵테일새우']",3.8
팟 가파오,7,"바질,파프리카,돼지고기,피쉬소스,설탕,마늘,베트남고추",바질|파프리카|돼지고기|피쉬소스|설탕|마늘|베트남고추,https://haemukja.com/recipes/3563,반찬,,동남아/인도 요리,476.2,31.2,45.2,806.2,56.4,286.4,"['바질', '파프리카', '돼지고기', '피쉬소스', '설탕', '마늘', '베트남고추']",2.9
팟시오,6,"넓은쌀국수면,새우,브로콜리,파프리카,숙주,느타리버섯",넓은쌀국수|새우|중국브로컬리(청경채대체가능)|파프리카|숙주나물|느타리버섯,https://haemukja.com/recipes/2602,반찬,간식/야식|손님 접대 요리,퓨전요리|이국적인맛,92.1,7.0,16.8,186.4,68.6,137.2,"['넓은쌀국수면', '새우', '브로콜리', '파프리카', '숙주', '느타리버섯']",4.0
팟타이,14,"쌀국수,계란,부추,숙주,새우,마늘,고춧가루,땅콩가루,멸치액젓,설탕,식초,굴소스,물엿,물",쌀국수|계란|부추|숙주|새우|마늘|고춧가루|땅콩가루|[양념] 멸치액젓|설탕|식초|굴소스|물엿|물,https://haemukja.com/recipes/1090,반찬,간식/야식,동남아/인도 요리,614.1,145.4,31.4,2184.4,132.4,9.6,"['쌀국수', '계란', '부추', '숙주', '새우', '마늘', '고춧가루', '땅콩가루', '멸치액젓', '설탕', '식초', '굴소스', '물엿', '물']",3.8
팬케이크덕,9,"팬케이크,옥수수,피망,양파,소세지,칠리소스,케이크시럽,소금,후추",팬케이크|옥수수|피망|양파|소시지|칠리소스|케이크시럽|소금|후추,https://haemukja.com/recipes/4174,후식,간식/야식,퓨전요리,371.5,45.8,16.3,837.9,246.0,123.1,"['팬케이크', '옥수수', '피망', '양파', '소세지', '칠리소스', '케이크시럽', '소금', '후추']",2.9
팬피자,8,"감자,양파,당근,계란,크래미,옥수수통조림,토마토소스,피자치즈",감자|양파|당근 (파프리카)|계란|크래미|옥수수콘|토마토소스|피자치즈,https://haemukja.com/recipes/292,빵,간식/야식,양식 요리,46.3,11.15,5.9,149.6,35.0,12.7,"['감자', '양파', '당근', '계란', '크래미', '옥수수통조림', '토마토소스', '피자치즈']",2.7
팽이버섯잡채덮밥,10,"양파,파프리카,팽이버섯,당면,간장,설탕,파,마늘,깨,고춧가루",양파|파프리카|팽이버섯|당면|간장|설탕|다진파|다진마늘|통깨|고춧가루,https://haemukja.com/recipes/4027,밥,,퓨전요리,62.95,29.95,1.95,662.75,25.85,36.4,"['양파', '파프리카', '팽이버섯', '당면', '간장', '설탕', '파', '마늘', '깨', '고춧가루']",1.9
팽이베이컨말이,4,"팽이버섯,베이컨,허브솔트,올리브유",팽이버섯|베이컨|허브솔트|올리브유,https://haemukja.com/recipes/3749,반찬,,퓨전요리,94.05,2.0,6.5,341.1,5.0,3.65,"['팽이버섯', '베이컨', '허브솔트', '올리브유']",2.9
팽이오징어볶음,14,"오징어,어묵,양배추,팽이버섯,마늘,양파,대파,설탕,고춧가루,간장,고추장,후추,청주,참기름",오징어|판어묵|양배추|팽이버섯|마늘|양파|대파|설탕|고춧가루|간장|고추장|후춧가루|청주|참기름,https://haemukja.com/recipes/5696,반찬,,,18.025,9.575,5.925,272.05,13.7,7.625,"['오징어', '어묵', '양배추', '팽이버섯', '마늘', '양파', '대파', '설탕', '고춧가루', '간장', '고추장', '후추', '청주', '참기름']",5.0
퍼넬 케이크 ,8,"우유,밀가루,계란,소금,베이킹파우더,바닐라농축액,파우더,설탕",흰우유|밀가루|계란|소금|베이킹파우더|바닐라 에센스|파우더 설탕,https://haemukja.com/recipes/1013,후식,간식/야식,양식 요리,70.4,21.25,5.8,529.25,140.75,0.5,"['우유', '밀가루', '계란', '소금', '베이킹파우더', '바닐라농축액', '파우더', '설탕']",4.3
페스토파스타,5,"자반김,파스타면,마늘,올리브오일,맛소금",자반김|파스타면|통마늘|올리브오일|맛소금,https://haemukja.com/recipes/1710,국밥/면/죽,,양식 요리,714.5,97.8,9.8,1126.8,7.5,6.7,"['자반김', '파스타면', '마늘', '올리브오일', '맛소금']",3.7
페타치즈 달걀볶음밥,7,"밥,굴소스,식용유,쪽파,계란,페타치즈,오레가노",밥|굴소스|식용유|쪽파|달걀|페타치즈|오레가노,https://haemukja.com/recipes/5065,밥,간식/야식|나들이 요리|손님 접대 요리|파티/명절요리,한식 요리,558.7,73.8,21.8,302.6,77.1,0.3,"['밥', '굴소스', '식용유', '쪽파', '계란', '페타치즈', '오레가노']",3.5
페퍼로치노피자,6,"난,페퍼로니,모짜렐라치즈,올리브,토마토소스,밀가루",난|페퍼로니피자|모짜렐라치즈|올리브|토마토소스|밀가루,https://haemukja.com/recipes/4048,빵,술안주|간식/야식,양식 요리,264.2,55.75,22.45,1153.95,273.75,17.6,"['난', '페퍼로니', '모짜렐라치즈', '올리브', '토마토소스', '밀가루']",4.1
펜네 맥앤치즈,7,"팬네,치즈,옥수수통조림,햄,우유,소금,후추",팬네|치즈|옥수수콘|스팸|우유|소금|후추,https://haemukja.com/recipes/5313,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,양식 요리,291.2,20.2,18.8,618.1,282.1,2.7,"['팬네', '치즈', '옥수수통조림', '햄', '우유', '소금', '후추']",5.0
편의점 계란조림,6,"훈제계란,간장,고추,설탕,물,맛술",달걀훈제|진간장|청양고추|설탕|물|맛술,https://haemukja.com/recipes/4547,반찬,,한식 요리,57.7,6.95,8.6,749.6,29.0,2.8,"['훈제계란', '간장', '고추', '설탕', '물', '맛술']",2.4
편의점 수제버거,9,"gs위대한버거,양상추,토마토,양파,치즈,계란,우유,감자,버터",GS 위대한 버거|양상추|토마토|양파|치즈|계란|우유|감자|버터,https://haemukja.com/recipes/1268,빵,간식/야식,양식 요리,1022.6,112.0,49.2,1365.6,305.0,67.3,"['gs위대한버거', '양상추', '토마토', '양파', '치즈', '계란', '우유', '감자', '버터']",2.1
포장마차 계란말이,9,"계란,맛술,설탕,소금,날치알,마요네즈,대파,가쓰오부시,피자치즈",계란|맛술|설탕|소금|날치알|마요네즈|대파|가쓰오부시|피자치즈,https://haemukja.com/recipes/4161,반찬,술안주,한식 요리,84.85,13.9,9.1,495.15,35.25,0.65,"['계란', '맛술', '설탕', '소금', '날치알', '마요네즈', '대파', '가쓰오부시', '피자치즈']",2.1
포장마차 어묵 잔치국수,6,"소면,양파,고추,쪽파,어묵,물",소면|양파|청양고추|쪽파|어묵|물,https://haemukja.com/recipes/5242,국밥/면/죽,,,618.0,120.6,24.0,2487.2,147.6,30.6,"['소면', '양파', '고추', '쪽파', '어묵', '물']",2.0
포켓몬 주먹밥,18,"소고기다짐육,간장,설탕,깨,마늘,후추,참기름,소금,김치,고춧가루,참치,마요네즈,양파,고구마분말,시금치분말,석류분말,치즈,김",다진소고기|간장|설탕|깨|다진마늘|후추|참기름|소금|김치|고춧가루|참치|마요네즈|다진양파|고구마분말|시금치분말|석류분말|슬라이스치즈|김,https://haemukja.com/recipes/2765,밥,나들이 요리,한식 요리,119.1,6.35,14.85,1371.2,63.7,3.45,"['소고기다짐육', '간장', '설탕', '깨', '마늘', '후추', '참기름', '소금', '김치', '고춧가루', '참치', '마요네즈', '양파', '고구마분말', '시금치분말', '석류분말', '치즈', '김']",2.0
포켓샌드위치,10,"계란,식빵,피클,옥수수통조림,마요네즈,허니머스타드소스,설탕,파마산치즈가루,소금,후추",계란|식빵|피클|옥수수통조림|마요네즈|허니머스터드|설탕|파마산치즈가루|소금|후추,https://haemukja.com/recipes/2396,빵,나들이 요리|간식/야식,양식 요리,255.25,50.25,17.55,412.1,71.85,0.2,"['계란', '식빵', '피클', '옥수수통조림', '마요네즈', '허니머스타드소스', '설탕', '파마산치즈가루', '소금', '후추']",4.6
포켓샐러드,11,"감자,햄,파프리카,계란,방울토마토,허니머스타드소스,홀그레인머스타드소스,마요네즈,후추,파마산치즈가루,오이",감자|샌드위치햄 (생식용)|파프리카색깔별로|삶은계란|방울토마토|허니머스타드소스|홀그레인머스타드|마요네즈|후춧가루|파마산치즈가루|오이,https://haemukja.com/recipes/2711,샐러드,손님 접대 요리,양식 요리,85.0,8.1,9.5,374.25,57.45,15.3,"['감자', '햄', '파프리카', '계란', '방울토마토', '허니머스타드소스', '홀그레인머스타드소스', '마요네즈', '후추', '파마산치즈가루', '오이']",3.5
포테이토피자,6,"감자,체다치즈,양파,소금,올리브유,메이플시럽",감자|체다치즈|양파|소금|올리브유|메이플시럽,https://haemukja.com/recipes/386,빵,,퓨전요리,63.6,15.75,5.45,405.4,117.0,12.7,"['감자', '체다치즈', '양파', '소금', '올리브유', '메이플시럽']",4.0
