레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
베이컨왕초밥,7,"밥,베이컨,깻잎,상추,스테이크소스,마요네즈,와사비",밥|통베이컨|깻잎|상추|스테이크소스|마요네즈|와사비,https://haemukja.com/recipes/4250,밥,,일식 요리,494.5,73.2,7.2,272.3,37.0,5.1,"['밥', '베이컨', '깻잎', '상추', '스테이크소스', '마요네즈', '와사비']",4.4
베이컨치즈스틱,6,"라이스페이퍼,스트링치즈,베이컨,밀가루,계란,빵가루",라이스페이퍼|스트링치즈|베이컨|밀가루|계란|빵가루,https://haemukja.com/recipes/4352,후식,술안주,퓨전요리,1725.0,146.3,74.1,2555.0,646.9,2.7,"['라이스페이퍼', '스트링치즈', '베이컨', '밀가루', '계란', '빵가루']",4.4
베이컨치즈핫케이크,8,"핫케이크,계란,우유,베이컨,소세지,치즈,양파,머스타드소스",핫케이크|달걀|우유|베이컨|소시지|치즈|양파|머스타드,https://haemukja.com/recipes/1559,후식,간식/야식,양식 요리,1488.3,123.8,62.3,1901.4,550.0,4.7,"['핫케이크', '계란', '우유', '베이컨', '소세지', '치즈', '양파', '머스타드소스']",4.0
베이컨크림파스타,13,"숏파스타,마늘,베이컨,양송이버섯,블랙올리브,올리브유,마늘,생크림,우유,파마산치즈가루,소금,후추,간장",숏파스타|마늘|베이컨|양송이버섯|블랙 올리브|올리브유|다진 마늘|생크림|우유|파마산치즈가루|소금|후춧가루|간장,https://haemukja.com/recipes/5409,국밥/면/죽,간식/야식|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|양식 요리,345.25,19.1,13.95,827.65,204.7,11.95,"['숏파스타', '마늘', '베이컨', '양송이버섯', '블랙올리브', '올리브유', '마늘', '생크림', '우유', '파마산치즈가루', '소금', '후추', '간장']",3.5
베이컨토마토꼬치,3,"베이컨,방울토마토,꼬치",베이컨|방울토마토|꼬치,https://haemukja.com/recipes/1429,반찬,술안주,일식 요리,983.9,4.6,33.3,1586.0,32.6,16.9,"['베이컨', '방울토마토', '꼬치']",5.0
베이컨프리타타,11,"계란,베이컨,양파,시금치,방울토마토,양송이버섯,버터,우유,소금,후추,바질가루",달걀|베이컨|양파|시금치|방울토마토|양송이|버터|우유|소금|후추|바질가루,https://haemukja.com/recipes/1373,반찬,간식/야식,양식 요리,126.75,6.05,13.6,824.7,51.3,10.35,"['계란', '베이컨', '양파', '시금치', '방울토마토', '양송이버섯', '버터', '우유', '소금', '후추', '바질가루']",4.4
베이컨핫케이크,6,"베이컨,핫케이크믹스,물,계란,베이크드빈스,양송이버섯",베이컨|핫케이크가루|물|계란|베이크드빈즈|양송이버섯,https://haemukja.com/recipes/2199,빵,,양식 요리,3069.6,387.2,92.9,5679.2,615.3,5.2,"['베이컨', '핫케이크믹스', '물', '계란', '베이크드빈스', '양송이버섯']",4.7
베이크드빈스 비엔나소시지구이,8,"소세지,양파,베이크드빈스,모짜렐라치즈,양송이버섯,파슬리,후추,고춧가루",비엔나소시지|양파|베이크드빈스|모짜렐라치즈|양송이버섯|파슬리가루|후춧가루|고운고춧가루,https://haemukja.com/recipes/1963,반찬,술안주|간식/야식,,24.825,2.9,4.675,261.85,16.475,2.475,"['소세지', '양파', '베이크드빈스', '모짜렐라치즈', '양송이버섯', '파슬리', '후추', '고춧가루']",2.9
베이크드빈스토스트,5,"베이크드빈스,방울토마토,베이컨,계란,호밀빵",베이크드빈스|방울토마토|베이컨|달걀|호밀빵,https://haemukja.com/recipes/2552,빵,간식/야식|손님 접대 요리,양식 요리,463.3,22.2,20.0,714.5,44.5,8.6,"['베이크드빈스', '방울토마토', '베이컨', '계란', '호밀빵']",2.9
베트남 국민소스 '느억맘',8,"피쉬소스,라임즙,고추,마늘,오일,꿀,물,라임제스트",피쉬소스|라임즙|다진고추|다진마늘|오일 (혹은 물)|꿀|물|라임 제스터,https://haemukja.com/recipes/5978,소스,손님 접대 요리,동남아/인도 요리,3.55,1.475,0.2,142.95,1.6,0.8,"['피쉬소스', '라임즙', '고추', '마늘', '오일', '꿀', '물', '라임제스트']",1.7
베트남반쎄오,23,"반쎄오가루,물,소고기목심,부추,숙주,삶은녹두,간장,설탕,마늘,참기름,후추,양파,탈각새우,굴소스,식용유,멸치액젓,설탕,식초,물,라임,마늘,고추,부추",반쎄오가루|물|소고기목심|부추|숙주|삶은녹두|간장|설탕|다진마늘|참기름|후추|양파|탈각새우|굴소스|식용유|멸치액젓|설탕|식초|물|라임|다진마늘|홍고추|부추,https://haemukja.com/recipes/5706,반찬,,퓨전요리|동남아/인도 요리,32.6,11.85,2.0,468.0,21.1,12.3,"['반쎄오가루', '물', '소고기목심', '부추', '숙주', '삶은녹두', '간장', '설탕', '마늘', '참기름', '후추', '양파', '탈각새우', '굴소스', '식용유', '멸치액젓', '설탕', '식초', '물', '라임', '마늘', '고추', '부추']",2.2
병아리 연유빵,7,"강력분,소금,우유,연유,버터,드라이이스트,옥수수통조림",강력분|소금|따뜻한 우유|연유|버터|드라이 이스트|통조림 옥수수,https://haemukja.com/recipes/5652,빵,간식/야식|나들이 요리|손님 접대 요리|파티/명절요리,양식 요리,716.4,291.85,39.45,3454.3,80.9,54.8,"['강력분', '소금', '우유', '연유', '버터', '드라이이스트', '옥수수통조림']",2.2
병아리콩 카레,11,"병아리콩통조림,고형카레,우유,양파,버터,당근,감자,물,편마늘,후추,소금",흙애서 병아리콩|고형 카레|우유|양파|버터|당근|감자|물|편마늘|후추|소금,https://haemukja.com/recipes/3560,반찬,,퓨전요리,405.8,68.7,14.9,485.7,321.2,86.9,"['병아리콩통조림', '고형카레', '우유', '양파', '버터', '당근', '감자', '물', '편마늘', '후추', '소금']",2.7
병아리콩샐러드,10,"병아리콩통조림,오이,방울토마토,파프리카,파인애플,꿀,레몬즙,올리브유,소금,파슬리",병아리콩|오이|방울토마토|파프리카|[선택재료] 파인애플|[드레싱] 꿀|레몬즙|올리브유|소금|파슬리가루,https://haemukja.com/recipes/2678,샐러드,간식/야식,양식 요리,9.725,4.05,1.1,20.95,8.4,17.825,"['병아리콩통조림', '오이', '방울토마토', '파프리카', '파인애플', '꿀', '레몬즙', '올리브유', '소금', '파슬리']",3.6
보쌈덮밥,10,"보쌈,양파,쪽파,밥,돈가스소스,간장,물엿,물,후추,쌈장",보쌈|양파|쪽파|밥|돈까스소스|진간장|물엿|물|후춧가루|쌈장,https://haemukja.com/recipes/2479,밥,,한식 요리,48.05,23.0,2.75,354.0,22.0,4.55,"['보쌈', '양파', '쪽파', '밥', '돈가스소스', '간장', '물엿', '물', '후추', '쌈장']",2.7
복분자 과일 화채,8,"참외,사과,복분자,대추,잣,물,홍초,꿀",참외|사과|복분자|대추|잣|물|홍초|꿀,https://haemukja.com/recipes/4293,후식,간식/야식,한식 요리,41.55,22.05,1.3,9.9,19.45,12.8,"['참외', '사과', '복분자', '대추', '잣', '물', '홍초', '꿀']",1.9
복분자 요거트 소르베,5,"복분자,우유,플레인요거트,설탕,레몬즙",복분자(냉동)|우유|플레인 요거트|설탕|레몬즙,https://haemukja.com/recipes/4079,후식,면역력 강화|손님 접대 요리|파티/명절요리,,8.433333333,4.766666667,0.6,9.233333333,20.76666667,1.2,"['복분자', '우유', '플레인요거트', '설탕', '레몬즙']",5.0
복분자소주칵테일,4,"복분자,설탕,소주,사이다",복분자|설탕|소주|사이다,https://haemukja.com/recipes/2422,후식,파티/명절요리,,148.35,42.75,0.8,15.25,33.75,2.0,"['복분자', '설탕', '소주', '사이다']",4.7
복숭아 푸딩,8,"복숭아,레몬,탄산수,물,젤라틴,설탕,소금,물",복숭아|레몬|탄산수|생수|젤라틴|설탕|굵은 소금|뜨거운 물,https://haemukja.com/recipes/1169,후식,간식/야식,양식 요리,16.625,17.025,0.275,25.225,5.625,3.25,"['복숭아', '레몬', '탄산수', '물', '젤라틴', '설탕', '소금', '물']",5.0
복숭아슬러시,3,"천도복숭아,레모나비타민,물",천도복숭아|레모나비타민|물,https://haemukja.com/recipes/3129,후식,간식/야식,,67.0,16.6,2.4,5.4,28.2,12.2,"['천도복숭아', '레모나비타민', '물']",4.8
